Name, Radius, Inclination, Position Angle, Distance, Knots
hd145560_H_pol, 85.3, 43.9, 221.5, 120.44, 7
hd146897_H_pol, 85.0, 84.0, 293.9, 131.50, 9
ceant_H_pol, 29.8, 13.1, 271.0, 34.03, 7
hd111520_H_pol, 81.0, 88.0, 165.0, 108.94, 7
hd115600_H_pol, 46.0, 80.0, 27.5, 109.62, 7
hd129590_H_pol, 66.9, 75.7, 121.7, 136.04, 9
hd117214_H_pol, 60.2, 71.0, 359.8, 107.61, 11
hd35841_H_pol, 60.3, 84.9, 345.8, 103.68, 7
hd30447_H_pol, 83.0, 83.0, 32.3, 80.54, 7
hd32297_H_pol, 98.4, 88.4, 47.9, 132.79, 13
hd110058_H_pol, 39.0, 84.0, 335.0, 129.98, 5
hd111161_H_pol, 72.4, 62.1, 263.2, 109.43, 7
hd157587_H_pol, 79.0, 70.0, 127.0, 100.51, 7
hr4796a_H_pol, 78.5, 76.5, 26.1, 72.78, 11
hd131835_H_pol, 107.7, 75.1, 61.4, 133.65, 7
hd106906_H_pol, 72.3, 84.6, 104.2, 103.33, 8
hd114082_H_pol, 30.7, 83.3, 285.7, 95.65, 5
hd191089_H_pol, 43.9, 59.0, 70.0, 50.13, 13
hd156623_H_pol, 80.2, 34.9, 280.9, 111.75, 11
